kappa,time_s,simulation_ms,route_ms,integration_ms,search_ms,shortest_distance_m,shortest_exposure,weighted_distance_m,weighted_exposure
5,0.0,10.164250037632883,27.818000060506165,11.8486670544371,12.682875036261976,3737.919573646269,508.02654022368523,3874.662918308165,1.8681479425834124
5,600.0,10.164250037632883,18.29425001051277,5.9330828953534365,10.638915933668613,3737.919573646269,492.6658692148021,3874.662918308165,2.9230349325828526
5,1800.0,10.164250037632883,18.94400001037866,7.199999992735684,9.951208950951695,3737.919573646269,465.23857916438953,3874.662918308165,5.856588054708645
20,0.0,27.311124955303967,17.383917002007365,5.632999935187399,10.189167922362685,3737.919573646269,508.02654022368523,3874.662918308165,1.8681479425834124
20,600.0,27.311124955303967,18.331917002797127,6.704209023155272,10.192541987635195,3737.919573646269,453.00279313555933,3874.662918308165,7.710988953996084
20,1800.0,27.311124955303967,18.625125056132674,6.581125082448125,10.215791990049183,3737.919573646269,380.0465831229452,3877.0733239384476,28.194398205058974
50,0.0,51.607374916784465,19.49158392380923,6.237791036255658,11.464998940937221,3737.919573646269,508.02654022368523,3874.662918308165,1.8681479425834124
50,600.0,51.607374916784465,19.122457946650684,6.761749973520637,10.866168071515858,3737.919573646269,395.0338516430212,3874.662918308165,22.73298936426429
50,1800.0,51.607374916784465,20.37804201245308,5.643957993015647,12.824875069782138,3737.919573646269,292.4930508631349,3896.3793978058225,70.81217607732587
