lambda_weight,distance_m,time_s,exposure,cost,elapsed_ms,visited
0,3737.919573646269,2669.942552604478,453.00279313555933,2669.942552604478,4.2952499352395535,2430
0.5,3821.263966459506,2729.47426175679,54.69094214250881,2756.8197328280444,5.502124899066985,2715
1,3842.253008666081,2744.4664347614867,28.70128096797575,2773.1677157294625,5.70312503259629,2843
2,3874.662918308165,2767.616370220118,7.710988953996084,2783.03834812811,5.718083004467189,2751
5,3874.662918308165,2767.616370220118,7.710988953996084,2806.1713149900984,4.949667025357485,2551
10,3874.662918308165,2767.616370220118,7.710988953996084,2844.726259760079,5.084916949272156,2491
