boundary,velocity,kappa,method,initial_mass,final_mass,cumulative_outward_flux,mass_balance_absolute,mass_balance_relative,minimum,peclet_x,peclet_y,regime
periodic,"[-0.7, 0.4]",0.0,imex_euler,0.9346200149392393,0.9346200149392395,0.0,2.220446049250313e-16,2.220446049250313e-16,0.00015829298206868403,,,pure_advection
periodic,"[-0.7, 0.4]",0.05,advection_explicit,0.9346200149392393,0.9346200149392393,0.0,2.220446049250313e-16,2.220446049250313e-16,0.00015829298206868403,3.4999999999999996,2.2857142857142856,advection_diffusion
periodic,"[-0.7, 0.4]",0.05,imex_euler,0.9346200149392393,0.9346200149392359,0.0,3.4416913763379853e-15,3.4416913763379853e-15,0.00015829298206868403,3.4999999999999996,2.2857142857142856,advection_diffusion
open,"[1.0, 0.0]",0.0,advection_explicit,0.9346200149392393,0.8858776372768791,0.0487423776623604,1.8539857149502126e-16,1.8539857149502126e-16,1.3495678218007895e-05,,,pure_advection
open,"[1.0, 0.0]",0.0,imex_euler,0.9346200149392393,0.8858776372768791,0.0487423776623604,1.8539857149502126e-16,1.8539857149502126e-16,1.3495678218007895e-05,,,pure_advection
open,"[1.0, 0.0]",0.05,advection_explicit,0.9346200149392393,0.8757115040611851,0.058908510878054376,2.220446049250313e-16,2.220446049250313e-16,0.00015829298206868403,5.0,0.0,advection_diffusion
open,"[1.0, 0.0]",0.05,imex_euler,0.9346200149392393,0.8756204451470802,0.0589995697921538,5.342948306008566e-15,5.342948306008566e-15,0.00015829298206868403,5.0,0.0,advection_diffusion
open,"[-1.0, 0.0]",0.0,advection_explicit,0.9346200149392393,0.8858776372768792,0.0487423776623604,2.8449465006019636e-16,2.8449465006019636e-16,1.3495678218007895e-05,,,pure_advection
open,"[-1.0, 0.0]",0.0,imex_euler,0.9346200149392393,0.8858776372768792,0.0487423776623604,2.8449465006019636e-16,2.8449465006019636e-16,1.3495678218007895e-05,,,pure_advection
open,"[-1.0, 0.0]",0.05,advection_explicit,0.9346200149392393,0.875711504061185,0.058908510878054376,1.1102230246251565e-16,1.1102230246251565e-16,0.00015829298206868403,5.0,0.0,advection_diffusion
open,"[-1.0, 0.0]",0.05,imex_euler,0.9346200149392393,0.8756204451470806,0.05899956979215385,4.850286838831153e-15,4.850286838831153e-15,0.00015829298206868403,5.0,0.0,advection_diffusion
open,"[0.7, -0.4]",0.0,advection_explicit,0.9346200149392393,0.8706210125288419,0.06399900241039752,1.6653345369377348e-16,1.6653345369377348e-16,1.1892253426353898e-05,,,pure_advection
open,"[0.7, -0.4]",0.0,imex_euler,0.9346200149392393,0.8706210125288419,0.06399900241039752,1.6653345369377348e-16,1.6653345369377348e-16,1.1892253426353898e-05,,,pure_advection
open,"[0.7, -0.4]",0.05,advection_explicit,0.9346200149392393,0.8560070839425525,0.07861293099668697,2.957703526540456e-16,2.957703526540456e-16,0.00015829298206868403,3.4999999999999996,2.2857142857142856,advection_diffusion
open,"[0.7, -0.4]",0.05,imex_euler,0.9346200149392393,0.855978960116469,0.0786410548227649,5.384581669432009e-15,5.384581669432009e-15,0.00015829298206868403,3.4999999999999996,2.2857142857142856,advection_diffusion
open,"[-0.7, 0.4]",0.0,advection_explicit,0.9346200149392393,0.8706210125288422,0.06399900241039753,4.0245584642661925e-16,4.0245584642661925e-16,1.1892253426353898e-05,,,pure_advection
open,"[-0.7, 0.4]",0.0,imex_euler,0.9346200149392393,0.8706210125288422,0.06399900241039753,4.0245584642661925e-16,4.0245584642661925e-16,1.1892253426353898e-05,,,pure_advection
open,"[-0.7, 0.4]",0.05,advection_explicit,0.9346200149392393,0.8560070839425525,0.078612930996687,2.3592239273284576e-16,2.3592239273284576e-16,0.00015829298206868403,3.4999999999999996,2.2857142857142856,advection_diffusion
open,"[-0.7, 0.4]",0.05,imex_euler,0.9346200149392393,0.8559789601164695,0.07864105482276502,4.8155923693116165e-15,4.8155923693116165e-15,0.00015829298206868403,3.4999999999999996,2.2857142857142856,advection_diffusion
