method,time_s,dt_s,min,max,energy,mass_drift
explicit_euler,0,0.0005,0.0,1.0,0.0024937500000000003,1.3010426069826053e-18
explicit_euler,0.1,0.0005,0.0020442159299572517,0.002751896141333609,3.036015865607362e-08,1.3010426069826053e-18
explicit_euler,0.2,0.0005,0.002389093110616722,0.0026060720648795753,2.9684459615465054e-09,1.3010426069826053e-18
explicit_euler,0.3,0.0005,0.0024596466053257993,0.002540538317834565,4.115183981504443e-10,1.3010426069826053e-18
backward_euler,0,0.1,0.0,1.0,0.0024937500000000003,1.951563910473908e-17
backward_euler,0.1,0.1,0.0013292320899154586,0.01479800547496872,1.8225347066070755e-06,1.951563910473908e-17
backward_euler,0.2,0.1,0.0020682756155768925,0.0032290138826428475,5.679374914583069e-08,1.951563910473908e-17
backward_euler,0.3,0.1,0.00234209989838988,0.0026168547704227586,4.307873294906652e-09,1.951563910473908e-17
crank_nicolson,0,0.1,0.0,1.0,0.0024937500000000003,6.375108774214766e-17
crank_nicolson,0.1,0.1,-0.9483514761732617,0.027309030158028148,0.0022828152150817164,6.375108774214766e-17
crank_nicolson,0.2,0.1,-0.03673882054695683,0.9156260860326868,0.0021253970379998526,6.375108774214766e-17
crank_nicolson,0.3,0.1,-0.8776053040413585,0.05232875766283414,0.0019914773465608904,6.375108774214766e-17
crank_nicolson_rannacher,0,0.1,0.0,1.0,0.0024937500000000003,8.239936510889834e-18
crank_nicolson_rannacher,0.1,0.1,0.0015582414718213718,0.004730783421540756,4.044078964967037e-07,8.239936510889834e-18
crank_nicolson_rannacher,0.2,0.1,0.0013238479626882275,0.0028077665284108556,5.884707762129224e-08,8.239936510889834e-18
crank_nicolson_rannacher,0.3,0.1,0.002418193395380184,0.003268573287477533,1.3500595106967205e-08,8.239936510889834e-18
